Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"3844 Tremayne Ter # 19, Silver Spring, MD 20906"	None	3/20/2014	7	None	4	None	None	3.5	None	Deausen Realty	None	None	Georgian Colony	327.21	None	None	1	None	None	1941	2	Marlon Deausen	None	8296952	None	20906	90	None	2	None	None	1975	175000
"15115 Interlachen Dr # 3-126, Silver Spring, MD 20906"	None	9/24/2014	19	9	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Greens At Leisur	585	None	1	1	1	None	1210	2	SUE HEYMAN	None	8464932	None	20906	148	None	2	3	None	1984	179000
"3005 S Leisure World Blvd Apt 502, Silver Spring, MD 20906"	1	8/12/2014	15	None	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Turnberry Courts	536	None	1	1	None	None	1093	14	STAN MOFFSON	None	8429395	None	20906	164	None	2	1	None	1999	179000
"575 Thayer Ave Apt 403, Silver Spring, MD 20910"	None	7/11/2014	1	None	1	1	0	None	None	Attorneys Advantage Realty	None	None	Thayer Towers	489.04	None	1	1	None	None	900	30	Simeon Deskins	None	8401965	None	20910	200	None	2	1	None	1973	180000
"2700 Snowbird Ter # 10-13, Silver Spring, MD 20906"	None	9/5/2014	2	None	2	2	0	None	None	RE/MAX REALTY SERVICES	None	None	Wintergate At Lo	203.5	None	1	1	None	None	864	7	Hank Cassi	None	8449881	None	20906	208	None	2	4	None	1992	180000
"1312 Ednor Rd, Silver Spring, MD 20905"	None	4/8/2010	None	None	None	None	None	None	None	"First Call Realtors, Inc."	None	None	None	None	None	None	None	None	None	None	60	George Hooley	44431.2	7303187	None	20905	None	None	3	1	None	None	180000
"12009 Centerhill St, Silver Spring, MD 20902"	None	5/28/2014	None	None	3	0	3	None	None	Lion Realty	None	None	None	None	None	1	1	None	None	1008	30	Sandy &amp; Jay	3528	8360329	None	20902	184	None	1	3	None	1950	185000
"12001 Claridge Rd, Silver Spring, MD 20902"	None	10/19/2012	None	5	4	None	None	None	None	Nbi  Realty Llc	None	None	None	None	None	1	1	None	None	1008	90	Sofia Pellegrino	4051	7950536	None	20902	184	None	2	3	None	1950	185000
"3330 N Leisure World Blvd # 5-609, Silver Spring, MD 20906"	None	9/24/2014	13	None	2	2	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	Fairways South	639	1	1	1	1	None	1220	7	Jenny Hughes	None	8464938	None	20906	152	None	2	1	Colonial	1989	185000
"4061 Chesterwood Dr, Silver Spring, MD 20906"	None	9/2/2014	2	7	2	0	2	1.5	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Montgomery Chase	150	None	1	1	None	None	1366	30	Marta Granados	None	8445474	None	20906	135	None	2	1	None	1983	185000
"3100 N Leisure World Blvd Apt 417, Silver Spring, MD 20906"	1	8/19/2014	14	7	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Overlook At Leis	468	None	1	1	None	None	1090	14	STAN MOFFSON	None	8435372	None	20906	173	None	2	1	None	2004	189000
"3330 N Leisure World Blvd # 5-823, Silver Spring, MD 20906"	1	9/6/2014	9	None	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Fairways South	639	1	1	1	1	None	1220	5	Eunice Phillips	None	8450387	1	20906	155	None	2	1	Colonial	1989	189000
"3521 Leisure Wld Boulevard S Unit: 27-B, Silver Spring, MD 20906"	None	8/29/2013	8	None	2	2	0	1.5	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery Mutual	946	None	1	1	None	None	1412	2	Rudy Robinson	None	8169524	None	20906	134	None	2	3	None	1967	189900
"3435 Hewitt Ave # 209, Silver Spring, MD 20906"	None	7/9/2014	None	9	2	2	0	None	None	Avalar Smart Choice Realty	None	None	The Monterey Cod	367.36	None	1	1	1	None	1137	2	WILLIAM A. AMPOFO	None	8399951	None	20906	167	None	2	3	None	1988	190000
"14203 Woolen Oak Ct # 3-31, Silver Spring, MD 20906"	None	8/16/2014	5	None	3	3	0	None	None	"Fairfax Realty, Inc."	None	None	Wintergate At Lo	201	None	1	1	None	None	1050	30	Patricio Concha	None	8433404	1	20906	183	None	2	1	None	1993	192000
"13408 Partridge Dr, Silver Spring, MD 20904"	None	1/30/2014	None	None	None	None	None	None	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	None	None	None	None	7	Jill Coleman	10018.8	8263104	None	20904	None	None	3	None	None	None	194900
"2608 Sagebrush Ter, Silver Spring, MD 20905"	None	9/19/2013	None	None	None	None	None	None	None	CENTURY 21 Trademark Realty	None	None	None	None	None	None	None	None	None	None	14	YOUNG KANG	37897.2	8186200	None	20905	None	None	3	1	None	None	195000
"8422 10th Ave, Silver Spring, MD 20903"	None	8/28/2014	None	5	3	0	3	2.5	None	"Fairfax Realty, Inc."	None	None	None	None	None	1	1	1	None	1088	5	Moises Lazo-Salmeron	3790	8442313	None	20903	179	None	2	None	None	1952	195000
"3209 S Leisure World Blvd # D, Silver Spring, MD 20906"	None	9/5/2014	4	7	2	2	0	None	None	TTR Sotheby&#39;s International Realty	None	None	Roosmoor Mutual #8	800	None	1	1	1	None	1278	7	John T. Mahshie	None	8449009	None	20906	156	None	2	4	None	1970	199000
"8324 12th Ave, Silver Spring, MD 20903"	None	9/8/2014	None	5	3	0	3	1.5	None	"Larry Perrin Properties, Inc."	None	None	None	None	None	1	1	None	None	1150	0.083333333	Larry Perrin	3746	8451319	None	20903	173	None	1	1	None	1950	199000
"13826 Carter House Way # 15-105, Silver Spring, MD 20904"	None	9/16/2014	None	2	2	0	2	2.5	None	RE/MAX Realty Group	None	None	Greencastle Manor 2	125	None	1	1	1	None	512	1	Roxanne Draheim	None	8457973	None	20904	390	None	2	1	None	1983	199500
"2701 Snowbird Ter # 10-16, Silver Spring, MD 20906"	None	9/10/2014	6	6	2	2	0	None	None	Partners Real Estate Company	None	None	Wintergate At Lo	203.82	None	1	1	1	None	1077	21	Khalil El-Ghoul	None	8453137	None	20906	186	None	2	1	None	1992	199900
"9039 Sligo Creek Pkwy Apt 1202, Silver Spring, MD 20901"	None	9/3/2014	8	3	2	2	0	None	None	RE/MAX REALTY SERVICES	None	None	Parkside Plaza	733	None	1	1	1	None	1172	2	Paul D. Schwiesow	None	8447111	1	20901	171	None	2	1	None	1965	199900
"12074 Milton St, Silver Spring, MD 20902"	None	9/23/2014	None	None	3	0	3	None	None	LONG &amp; FOSTER - Bethesda Avenue	None	None	None	None	None	1	1	None	None	1200	7	Jamie Coley and Leigh Reed	2788	8463786	None	20902	167	None	2	1	None	1952	199900
"13406 Partridge Dr, Silver Spring, MD 20904"	None	1/30/2014	None	None	None	None	None	None	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	None	None	None	None	7	Jill Coleman	10454.4	8263103	None	20904	None	None	3	None	None	None	199900
"2904 N Leisure World Blvd Apt 506, Silver Spring, MD 20906"	None	9/11/2014	23	None	2	2	0	None	None	Weichert Realtors - Rockville / White Flint	None	None	Turnberry Courts	588	None	1	1	1	None	1255	21	Marilyn Teitelbaum	None	8453597	None	20906	159	None	2	1	None	1997	199999
"15115 Interlachen Dr # 3-926, Silver Spring, MD 20906"	None	9/26/2014	20	9	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Greens At Leisur	607	1	1	1	1	None	1210	0.583333333	SUE HEYMAN	None	8467200	None	20906	165	None	2	1	Traditional	1984	200000
"3652 Gleneagles Dr # 12-B, Silver Spring, MD 20906"	None	9/10/2014	5	6	2	2	0	1.5	None	Net Real Estate	None	None	Montgomery Mutual Coop	962	None	1	1	None	None	1412	14	Tracy Shively	None	8452807	1	20906	145	None	2	1	None	1967	204990
"3100 N Leisure World Blvd Apt 317, Silver Spring, MD 20906"	1	8/14/2014	13	6	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Overlook At Leis	457	None	1	1	None	None	1090	4	MIKE GRYGIER	None	8431661	1	20906	188	None	2	1	None	2004	205000
"13328 Bea Kay Dr, Colesville, MD 20904"	None	1/30/2014	None	None	None	None	None	None	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	None	None	None	None	None	7	Jill Coleman	10018.8	8263102	None	20904	None	None	3	1	None	None	206900
"13004 Conductor Way # 105, Silver Spring, MD 20904"	None	3/10/2014	1	6	3	1	2	None	None	"Fairfax Realty, Inc."	None	None	Stkbrdge At Tang	179	None	1	1	1	33	1377	21	Clement Ajayi	None	8288395	None	20904	150	None	2	1	None	1983	206900
"3100 N Leisure World Blvd Apt 917, Silver Spring, MD 20906"	1	8/6/2014	13	10	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Overlook At Leis	468	None	1	1	1	None	1090	3	Michele Young	None	8424932	None	20906	192	None	2	1	None	2004	209000
"1415 Gleason St, Silver Spring, MD 20902"	None	6/1/2014	None	None	2	2	0	None	None	First Decision Realty Llc	None	None	None	None	None	1	1	1	None	1152	1	Jorge Alvarez	5793	8364438	None	20902	182	None	1	3	None	1949	210000
"4057 Chesterwood Dr, Silver Spring, MD 20906"	None	6/4/2014	3	5	3	0	3	2.5	None	"Fairfax Realty, Inc."	None	None	Montgomery Chase	225	None	1	1	None	None	1428	30	Ron Pavia	None	8367995	None	20906	151	None	2	4	None	1983	215000
"11749 Veirs Mill Rd, Silver Spring, MD 20902"	None	9/8/2014	1	None	4	None	None	3	None	Coldwell Banker Residential Brokerage - Bethesda	None	None	None	None	None	1	1	1	343	1306	2	Raj Purohit	1307	8450960	None	20902	168	None	2	3	None	1966	219000
"12021 Milton St, Silver Spring, MD 20902"	None	9/23/2014	None	None	3	0	3	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	None	None	1	None	None	1008	7	Pennye Green-Latimer	4443	8464052	None	20902	218	None	2	1	None	1951	219900
"939 Norwood Rd, Silver Spring, MD 20905"	None	1/31/2012	None	None	4	None	None	2.5	None	RE/MAX 2000	None	None	None	None	None	1	1	None	None	1313	2	Luis Martinez	13068	7764771	None	20905	168	None	1	3	None	1938	220000
"4503 Mahan Rd, Silver Spring, MD 20906"	None	1/24/2014	None	None	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	None	None	None	1	1	1	None	1161	3	Daouda Kone	9365	8259378	None	20906	189	None	1	3	None	1946	220000
"6 Musicmaster Ct # 131, Silver Spring, MD 20904"	None	9/12/2014	None	4	3	1	2	None	None	RE/MAX 2000	None	None	Stkbrdge At Tang	180	None	1	1	None	None	459	21	Olga Flores	None	8455776	None	20904	490	None	2	1	None	1984	224900
"14431 Taos Ct # 5-S, Silver Spring, MD 20906"	None	9/28/2014	4	6	3	0	3	2.5	None	Weichert Realtors - Germantown / Upper Montgomery County	None	None	Kimberly Place	296	None	1	1	None	None	1536	4	Joaquin Cerritos	None	8467961	1	20906	146	None	2	1	None	1971	225000
"14406 Innsbruck Ct # 3-D, Silver Spring, MD 20906"	None	8/16/2014	4	6	3	0	3	2.5	None	Long &amp; Foster	None	None	Kimberly Place	298	None	None	None	None	None	1524	7	Joseph Huff	None	8433508	None	20906	148	None	2	None	None	1971	225000
"14801 Pennfield Cir Apt 206, Silver Spring, MD 20906"	1	6/25/2014	16	11	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Villa Cortese Cod	604	None	1	1	1	None	1300	28	STAN MOFFSON	None	8387157	None	20906	173	None	2	1	None	1995	225000
"9035 Manchester Rd, Silver Spring, MD 20901"	None	9/4/2014	1	5	3	0	3	None	None	W.C. &amp; A.N.Miller Realtors	None	None	Manchester Gardens	320	None	1	1	1	None	986	5	Norah Burnes	None	8448399	None	20901	228	None	2	None	None	1953	225000
"13133 Musicmaster Dr # 122, Silver Spring, MD 20904"	None	10/2/2014	6	None	3	1	2	2.5	None	RE/MAX Realty Group	None	None	Stkbrdge At Tang	179	None	1	1	None	33	540	1	"Richard and Larry Prigal, Kate Snyder and Beth Borenstein"	None	8471136	None	20904	417	None	2	1	None	1983	225000
"2901 S Leisure World Blvd Unit 404, Silver Spring, MD 20906"	None	9/2/2014	12	6	2	2	0	None	None	Danielle Mcbride Montgomery	None	None	Creekside @ Leis	510	None	1	1	None	None	1229	1	Danielle Montgomery	None	8445981	None	20906	183	None	2	None	None	2006	225000
"2620 Ashmont Ter, Silver Spring, MD 20906"	None	7/7/2014	None	None	3	0	3	2.5	None	"Herboso &amp; Associates, Llc."	None	None	None	None	None	1	1	None	65	1104	60	Fernando Herboso	1263	8397778	None	20906	204	None	2	4	None	1984	225000
"1817 Tufa Ter, Silver Spring, MD 20904"	None	7/17/2014	None	9	3	0	3	3.5	None	RE/MAX 2000	None	None	None	None	None	1	1	None	250	1540	7	Christopher LaRose	2004	8407093	None	20904	146	None	2	4	None	1980	225000
"2212 Colston Dr Apt 102, Silver Spring, MD 20910"	None	10/2/2014	4	6	1	1	0	None	None	W.C. &amp; A.N.Miller Realtors	None	None	Rock Creek Village	384	None	1	None	1	None	679	1	Peter Sarro	None	8471149	None	20910	339	None	2	1	None	1948	229900
"1220 Blair Mill Rd Apt 201, Silver Spring, MD 20910"	1	7/7/2014	2	None	1	1	0	None	None	Lion Realty	None	None	Mica At Silvr Sp	520.32	1	1	1	None	None	860	60	Sandy &amp; Jay	None	8397600	None	20910	267	None	2	None	Contemporary	2006	229900
"12116 Valleywood Dr, Silver Spring, MD 20902"	None	9/19/2014	None	None	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	None	1	1	None	None	1048	0.833333333	BRAD ROZANSKY	9017	8461424	None	20902	219	None	1	1	None	1953	229900
"2901 S Leisure World Blvd Unit 517, Silver Spring, MD 20906"	1	1/7/2014	21	8	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Creekside @ Leis	512	None	1	1	1	None	1280	1	JOAN BROWN	None	8249035	None	20906	182	None	2	1	None	2006	233101
"2945 Schoolhouse Cir, Silver Spring, MD 20902"	None	1/23/2014	None	5	3	0	3	3.5	None	RE/MAX Excellence Realty	None	None	None	None	None	1	1	None	100	1280	7	Yolanda DiPasquale	1960	8258953	None	20902	184	None	2	1	None	1985	235000
"1910 Mica Dr, Silver Spring, MD 20904"	None	1/16/2014	None	None	4	0	4	3.5	None	Better Living Properties	None	None	None	None	2	1	1	1	250	1824	90	Gabe and Kathy Fontana	10018.8	8254750	None	20904	129	None	1	3	Colonial	1979	235000
"11726 King Tree St, Silver Spring, MD 20902"	None	3/24/2014	None	7	3	2	1	None	None	RE/MAX 2000	None	None	None	None	None	1	1	None	None	1716	4	"Daniel B. Register, IV"	6055	8299494	None	20902	138	None	1	3	None	1949	237200
"10221 Menlo Ave, Silver Spring, MD 20910"	None	7/16/2014	None	None	None	None	None	None	None	Realty Direct LLC	None	None	None	None	None	None	None	None	None	None	14	Carey Brill	10454.4	8405872	None	20910	None	None	3	1	None	None	239000
"13848 Carter House Way # 14-95, Silver Spring, MD 20904"	None	5/29/2014	None	8	2	0	2	3	None	Prudential PenFed Realty	None	None	Abriasis Realty	125	None	1	1	None	None	1728	3	ANNE BENNETT	None	8362150	None	20904	139	None	2	1	None	1983	239900
"2702 Weisman Rd, Silver Spring, MD 20902"	None	10/2/2014	None	None	4	2	2	None	None	RE/MAX REALTY SERVICES	None	None	None	None	None	1	1	None	None	1152	1	Laps McCord	5489	8471909	None	20902	208	None	1	1	None	1951	239900
"1900 Lyttonsville Rd Apt 316, Silver Spring, MD 20910"	1	9/22/2014	1	5	2	2	0	None	None	"The Williams Group-Md, Llc."	None	None	Park Sutton	740.6	None	1	None	None	None	1050	5	David Williams	None	8463199	1	20910	228	None	2	1	None	1980	239900
"14611 King Lear Ct # 14, Silver Spring, MD 20906"	None	8/21/2014	4	9	4	None	None	3.5	None	Frankly Real Estate Inc	None	None	Georgian Colonies	327	None	1	1	1	None	2588	6	Bola Williams	None	8437111	None	20906	93	None	2	None	None	1975	240000
"12305 Valleywood Dr, Silver Spring, MD 20902"	None	3/19/2014	None	None	4	3	1	None	None	"Fairfax Realty, Inc."	None	None	None	None	1	1	1	None	None	912	30	Lusmila Ary	7057	8295863	None	20902	263	None	1	3	Colonial	1953	240000
"530 E Indian Spring Dr, Silver Spring, MD 20901"	None	6/13/2014	None	None	4	4	0	None	None	Carrington Real Estate Services Llc	None	None	None	None	None	1	1	1	None	1410	7	Harriet Love	8146	8376630	None	20901	172	None	1	1	None	1962	242000
"1405 Dennis Ave, Silver Spring, MD 20902"	None	12/2/2013	None	None	2	2	0	None	None	Keller Williams Capital Properties	None	None	None	None	None	1	1	None	None	1776	30	Ruth Henriquez	6273	8233288	None	20902	138	None	1	3	None	1950	244900
"3701 Liverpool Pl # 37, Silver Spring, MD 20906"	None	8/17/2014	18	5	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	English Orchard	635	2	1	1	1	None	1004	1	Doug Brasse	None	8433806	None	20906	244	None	2	None	None	1974	245000
"14620 King Lear Ct # 13, Silver Spring, MD 20906"	None	9/10/2014	1	None	4	None	None	None	None	Evergreen Properties	None	None	Georgian Colonies	327	None	1	1	None	None	1940	None	Merlin Cruz	None	8453242	None	20906	126	None	2	1	None	1976	245000
"10400 Grandin Rd, Silver Spring, MD 20902"	None	9/16/2013	None	None	3	3	0	None	None	"Metropolitan Fine Properties, Inc."	None	None	None	None	None	1	None	None	None	1055	30	Maryam Rezaie	7013	8182968	None	20902	232	None	1	3	None	1947	245000
"1900 Lyttonsville Rd Apt 1306, Silver Spring, MD 20910"	None	7/22/2014	6	8	2	2	0	None	None	Coldwell Banker Residential Brokerage - Capitol Hill	None	None	Park Sutton	756	1	1	None	1	None	1050	7	Evelyn Branic	None	8411838	None	20910	237	None	2	None	Contemporary	1980	249000
"9039 Sligo Creek Pkwy Apt 1707, Silver Spring, MD 20901"	1	7/23/2014	8	6	2	2	0	None	None	Prudential PenFed Realty	None	None	Parkside Plaza C	1178.29	1	1	1	1	None	1882	28	Karen Rollings &amp; Sherry Felice and	None	8412856	1	20901	132	None	2	1	Traditional	1965	249000
"8633 Geren Rd # 29-1, Silver Spring, MD 20901"	None	9/26/2014	3	None	2	0	2	None	None	LONG &amp; FOSTER - Bethesda Avenue	None	None	Top Of The Park	274.16	None	1	1	1	None	1092	3	Judith Kogod Colwell	None	8466324	1	20901	228	None	2	1	None	1980	249000
"2803 Terrapin Rd, Silver Spring, MD 20906"	None	4/3/2014	None	8	3	3	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	None	None	None	1	1	1	None	1065	0.75	Deborah Younkers	5358	8309355	None	20906	234	None	1	3	None	1950	249000
"9740 Hedin Dr, Silver Spring, MD 20903"	None	6/6/2014	None	None	3	3	0	2.5	None	Coldwell Banker Innovations	None	None	None	None	None	None	None	1	None	1911	1	Jeanne Pino	7449	8370918	None	20903	131	None	1	1	None	1960	249900
"3703 Bloomsbury Ct # 26A, Silver Spring, MD 20906"	None	8/3/2014	12	None	3	3	0	None	None	"RE/MAX Realty Centre, Inc."	None	None	Rossmoor Mutual #13	669	2	1	1	1	None	1193	4	"Roseann Taff, Roy and Timmie Liza"	None	8422033	None	20906	209	None	2	3	None	1974	249900
"14400 Banquo Ter, Silver Spring, MD 20906"	None	10/2/2014	1	None	4	None	None	3.5	None	RE/MAX Realty Group	None	None	Georgian Colonies	245	None	1	1	None	None	2345	2	Craig Rosenfeld	None	8471515	None	20906	107	None	2	1	None	1980	249900
"3558 Gentry Ridge Ct, Silver Spring, MD 20904"	None	7/25/2014	None	3	3	0	3	3.5	None	"AVERY-HESS, REALTORS - Rockville Of"	None	None	None	None	None	1	1	None	225	1200	7	Neal Greene	1394	8415164	None	20904	208	None	2	1	None	1988	249900
"3942 Chesterwood Dr, Silver Spring, MD 20906"	None	8/15/2014	2	6	3	0	3	2.5	None	"AVERY-HESS, REALTORS - Rockville Of"	None	None	Montgomery Chase	224	None	1	None	None	None	1350	14	Tucker Davis	None	8433079	1	20906	185	None	2	3	None	1983	249900
"12823 Matey Rd, Silver Spring, MD 20906"	None	3/2/2013	None	None	3	2	1	None	None	Realty Executives Leading Edge	None	None	None	None	None	1	1	1	None	910	7	Patricia Jaramillo	6665	8021461	1	20906	275	None	1	1	None	1949	249999
"4 Aquarius Ct, Silver Spring, MD 20906"	None	8/15/2014	2	None	4	4	0	None	None	Long &amp; Foster	None	None	None	None	2	1	1	None	70	1407	7	Leon Team	9714	8432546	None	20906	178	None	1	3	Traditional	1972	250000
"11601 Elkin St Apt 60, Wheaton, MD 20902"	None	7/21/2014	3	5	3	None	None	None	None	Exit Bennett Realty	None	None	Abaris Realty	618	None	1	1	None	None	1585	7	Carla Scott	None	8410795	1	20902	158	None	2	None	None	1961	250000
"2901 Strauss Ter, Silver Spring, MD 20904"	None	9/10/2014	None	None	3	0	3	2.5	None	Tristar Realty Inc	None	None	None	None	None	1	1	None	51	1360	3	Melissa Smith	1960	8453415	None	20904	184	None	2	1	None	1986	250000
"1327 Smith Village Rd, Silver Spring, MD 20904"	None	9/11/2014	None	7	4	0	4	2.5	None	Keller Williams Flagship of Marylan	None	None	None	None	2	1	1	1	None	2440	14	Jessica Ricciardi	20037.6	8454236	None	20904	190	None	1	1	Colonial	2014	463989
"1327 Smith Village Rd, Silver Spring, MD 20904"	None	9/11/2014	None	7	4	0	4	2.5	None	Keller Williams Flagship of Marylan	None	None	None	None	2	1	1	1	None	2440	14	Jessica Ricciardi	20037.6	8454236	None	20904	190	None	1	1	Colonial	2014	463989
"1327 Smith Village Rd, Silver Spring, MD 20904"	None	9/11/2014	None	7	4	0	4	2.5	None	Keller Williams Flagship of Marylan	None	None	None	None	2	1	1	1	None	2440	14	Jessica Ricciardi	20037.6	8454236	None	20904	190	None	1	1	Colonial	2014	463989
"14105 Alderton Rd, Silver Spring, MD 20906"	None	6/1/2014	None	None	None	None	None	None	None	Barsch Realty Llc	None	None	None	None	None	None	None	None	None	None	30	Stanley Barsch	34412.4	8364348	None	20906	None	None	3	1	None	None	250000
"12136 Turnstone Ct # 84, Silver Spring, MD 20904"	None	8/14/2014	3	4	2	0	2	None	None	Frankly Real Estate Inc	None	None	Stonehedge Codm	155	None	1	None	1	None	1560	7	Cara Pearlman	None	8431587	None	20904	163	None	2	3	None	1985	255000
